material_type,material_form,material_diameter,laser_power,scanning_speed,hatching_distance,layer_thickness,rotation_angle,hardness,yield_stress,tensile_strength,elongation_to_failure
CoCrFeNiMn,powder,90,400,1200,90,30,67,,519,601,34
Hastelloy X,powder,70,250,800,100,50,67,,482.825,727.609,36.166
TI6Al4V,powder,200,95,600,70,30,45,362,,1342,4.8
316L,powder,50,150,700,50,20,30,,510.16,647.326,41.73
TI6Al4V,powder,200,90,600,65,30,36,396,,937,2.4
IN718,powder,100,350,800,120,40,90,,1248,1457,22
Hastelloy X,powder,70,250,800,100,50,67,,383.102,557.278,22.534
CoCrFeNiMn,powder,35,200,749.9996438,85,50,90,208,,,
TI6Al4V,powder,52,250,1600,60,30,90,,1110,1267,7.28
316L,powder,65,200,750,110,50,67,,413.34,618.201,30.3871
316L,powder,80,380,1050,70,50,0,215.387,,,
TI6Al4V,powder,100,280,1200,140,30,66.6,,974,1058,12.3
316L,powder,65,200,750,110,50,67,,454.586,566.568,14.777
CoCrFeNiMn,powder,90,400,1600,90,30,67,,530,586,32.6
CoCrFeNiMn,powder,90,400,800,90,30,67,,446,649,18
Hastelloy X,powder,50,95,200,90,30,90,,480,620,40
IN625,powder,100,195,1200,90,20,67,315,,,
TI6Al4V,powder,60,88,496,82,30,115,,,1198,5.8
IN718,powder,100,350,800,120,40,90,227,,,
CoCrFeNiMn,powder,35,200,749.9996438,85,50,67,202,455,,
CoCrFeNiMn,powder,35,200,749.9996438,85,50,67,204,,,
IN718,powder,80,250,700,120,50,45,320,668,1011,22
IN718,powder,100,950,320,500,100,45,,872,1005,17
Hastelloy X,powder,50,95,200,90,30,90,,480,620,40
IN625,powder,100,195,1200,90,20,67,335,,,
IN625,powder,100,195,1200,90,20,67,205,,,
IN625,powder,100,195,1200,90,20,67,220,,,
316L,powder,100,170,700,120,60,90,,528,659,16.6
TI6Al4V,powder,200,95,750,85,30,36,388,,1392,3.2
316L,powder,200,100,200,120,50,90,221,454,750,29
Hastelloy X,powder,100,250,1250,80,40,90,196,410,624,58
Hastelloy X,powder,100,195,2050,90,40,67,,306,453.333,7
TI6Al4V,powder,60,106,620,82,30,115,,,1157,6.7
TI6Al4V,powder,200,400,60,500,200,90,,1050,1140,7.03
TI6Al4V,powder,60,88,620,82,30,115,,,1195,7
Hastelloy X,powder,35,180,333.3333333,90,20,67,277.1,720,882,22.5
TI6Al4V,powder,88,375,1160,120,60,67,,1135,1250,8
TI6Al4V,powder,100,280,1200,140,30,66.67,,929,1032,18.6
316L,powder,80,380,950,80,50,0,215.581,,,
IN718,powder,70,200,900,90,30,67,,1281,1468,14.5
CoCrFeNiMn,powder,35,200,749.9996438,110,50,67,201.6,,,
CoCrFeNiMn,powder,90,400,800,90,30,67,,525,601,34.5
TI6Al4V,powder,70,400,1166.666667,100,60,67,404,,,
TI6Al4V,powder,40,200,1000,100,50,90,,1127.333333,1219.666667,4.366666667
IN718,powder,100,350,800,120,40,90,,1260,1458,21.4
316L,powder,200,200,220,120,50,90,217,,,
TI6Al4V,powder,60,88,682,82,30,115,,,1193,9.6
IN718,powder,100,350,800,120,40,90,,541,976,39.1
Hastelloy X,powder,100,195,1000,90,40,67,,435,670,60
TI6Al4V,powder,52,250,1600,60,30,90,,899,948,13.59
IN718,powder,100,350,800,120,40,90,240,,,
CoCrFeNiMn,powder,35,200,428.5713122,85,50,67,202.8,,,
316L,powder,80,380,1500,50,50,0,216.761,,,
IN718,powder,80,160,800,160,50,90,,760,1335,21.3
TI6Al4V,powder,70,500,1750,100,60,67,411,,,
IN625,powder,46,120,200,100,50,90,338.24,,,
IN625,powder,46,120,300,100,50,90,370.1,,,
TI6Al4V,powder,100,280,1200,140,30,66.67,,1040,1201,9.4
TI6Al4V,powder,200,90,800,85,30,75,266,,1331,3.8
TI6Al4V,powder,200,110,700,70,30,36,330,,952,6.2
TI6Al4V,powder,88,375,1029,120,60,67,,1144,1253,8
CoCrFeNiMn,powder,35,200,499.9998417,85,50,67,188.8,,,
CoCrFeNiMn,powder,75,240,2000,50,40,90,,510,609,34
316L,powder,200,100,200,120,50,90,,409,674,26
TI6Al4V,powder,65,200,650,80,50,90,442,1174,1201,2.5
IN718,powder,80,250,700,120,50,45,,942,1078,20
IN718,powder,70,200,900,90,30,67,,1361,1498,15
TI6Al4V,powder,100,280,1200,140,30,66.6,,974,1063,12.3
TI6Al4V,powder,65,200,650,80,50,90,428,1176,1223,9.99
TI6Al4V,powder,200,105,750,70,30,75,354,,1070,10
Hastelloy X,powder,100,195,1750,90,40,67,,384,533.333,9
316L,powder,100,100,120,100,60,0,,,427.955,
Hastelloy X,powder,100,280,1000,80,25,67,,725,920,19
TI6Al4V,powder,65,200,650,80,50,90,417,1159,1234,9.48
CoCrFeNiMn,powder,35,200,749.9996438,85,50,67,202,455,,
IN718,powder,100,950,320,500,100,45,338,668,884,7
316L,powder,80,380,2500,30,50,0,220.035,,,
Hastelloy X,powder,50,95,200,90,30,90,,480,620,40
TI6Al4V,powder,52,42,200,100,30,0,381,,,
TI6Al4V,powder,70,400,1750,100,60,67,384,,,
IN718,powder,80,160,800,160,50,90,,620,1325,28.6
IN718,powder,70,200,900,90,30,67,,803,1073,26.5
TI6Al4V,powder,200,105,700,65,30,60,367,,1083,3.4
TI6Al4V,powder,60,88,744,82,30,115,,,1176,10.2
TI6Al4V,powder,52,250,1600,60,30,90,,1118,1223,5.36
316L,powder,65,200,750,110,50,67,,445.191,628.335,29.2558
TI6Al4V,powder,200,110,650,65,30,75,364,,1064,6.4
TI6Al4V,powder,40,200,1000,100,50,90,,1181.333333,1260.666667,5.066666667
Hastelloy X,powder,70,250,800,100,50,67,,493.629,683.175,36.889
TI6Al4V,powder,100,280,1200,140,30,66.6,,1060,1080,11.7
IN625,powder,100,195,1200,90,20,67,275,,,
Hastelloy X,powder,70,250,800,100,50,67,,194.46,394.353,19.029
Hastelloy X,powder,100,250,1250,80,40,0,183,392,751,42
Hastelloy X,powder,70,250,800,100,50,67,,208.587,272.159,26.818
IN718,powder,100,285,960,110,40,67,171.1,,,
Hastelloy X,powder,70,250,800,100,50,67,,213.158,267.299,6.677
IN718,powder,100,350,800,120,40,90,314,,,
IN718,powder,100,350,800,120,40,90,,1337,1500,19.8
TI6Al4V,powder,40,200,1000,100,50,90,,1181.333333,1260.666667,5.066666667
TI6Al4V,powder,100,280,1200,50,50,67,,869,945,18
CoCrFeNiMn,powder,35,200,749.9996438,60,50,67,205.6,,,
IN625,powder,100,195,1200,90,20,67,220,,,
TI6Al4V,powder,200,95,800,65,30,40,396,,1510,9.7
TI6Al4V,powder,100,280,1200,50,50,67,,850,933,15
IN718,powder,100,950,320,500,100,45,262,481,788,34
TI6Al4V,powder,88,375,1392,120,60,67,,1138,1257,8.3
TI6Al4V,powder,52,250,1600,60,30,90,,1026,1082,9.04
Hastelloy X,powder,70,250,800,100,50,67,,552.632,788.706,31.325
Hastelloy X,powder,70,250,800,100,50,67,,337.396,436.01,5.397
CoCrFeNiMn,powder,35,200,749.9996438,85,50,0,206.3,,,
Hastelloy X,powder,70,250,800,100,50,67,,209.003,265.216,28.71
IN625,powder,100,195,1200,90,20,67,415,,,
TI6Al4V,powder,85,41.7,400,70,30,90,,,980,1.24
TI6Al4V,powder,200,100,650,80,30,36,334,,1428,8.4
Hastelloy X,powder,100,285,960,110,40,67,,310,695,100
316L,powder,70,180,666.6666667,124,50,0,192.997,,,
316L,powder,65,200,750,110,50,67,,427.802,534.736,12.6249
Hastelloy X,powder,100,285,960,110,40,67,,590,695,80
316L,powder,70,180,600,124,50,0,194.191,,,
TI6Al4V,powder,52,250,1600,60,30,90,,801,874,13.45
Hastelloy X,powder,70,250,800,100,50,67,,171.191,254.802,29.489
CoCrFeNiMn,powder,75,240,2500,50,40,90,,355,565,32
Hastelloy X,powder,50,95,200,90,30,90,,350,560,41
TI6Al4V,powder,65,200,541.6666667,80,75,90,382,1037,,5.46
IN718,powder,100,350,800,120,40,90,,873,1126,28.6
TI6Al4V,powder,100,280,1200,140,30,66.67,,954,1050,14.7
TI6Al4V,powder,200,95,700,80,30,75,342,,1430,3.5
Hastelloy X,powder,100,250,1250,80,40,67,200,406,626,57
IN718,powder,90,195,1200,90,20,67,,1240,1398,
IN718,powder,100,350,800,120,40,90,,1356,1500,20.8
TI6Al4V,powder,60,79,620,82,30,115,,,1164,10.8
CoCrFeNiMn,powder,35,200,749.9996438,110,50,67,207.8,,,
